제품명,단위,출하가(단위:천원),판매가,수량,제품명,단위,출하가(단위:천원),판매가,수량,제품명,단위,출하가(단위:천원),판매가,수량,제품명,단위,출하가출하가(단위:천원),판매가,수량,제품명,단위,출하가(단위:천원),판매가,수량,
인사돌100T,,28,32,,케어 6g,10,4.2/4(30~),5.5,,멜라터치,10,25,40,,위스콘 더블액션,20,1.54(~80)/1.4(100~),3,,사라펜 플라스타,50,5.2/4.7(100~),10(3),,
인사돌300T,,68,82,,케어 10g,10,5.8/5.6(30~),7.5,,페이셜리페어크림,10,18,30,,다제스 10C,20,1.9(~80)/1.73(100~),4,,사라펜 플라스타 롱,50,5.5/5.3(100~),12(4),,
인사돌플러스100T,,30,34~37,,복합 15g,10,6,8,,페이셜리페어라이트,10,14,25,,다제스 30C,10,5.1(~40)/4.6(50~),9,,사라펜 플라스타 조인트,50,3/2.5(100~),5,,
인사돌플러스270T,,68,84,,겔 10g,10,6,9,,핸드우레아,10,10,18,,위트리 10T,50,0.9,3,,사라펜 카타플라스마,100,2.3(1)/2.2(2)/2(3),5,,
인사돌플러스500T,,116,130,,겔 20g,10,10,15,,PDRN농축앰플,6,28,45,,레가론 현탁액,10/완210,4,8,,류마스탑파워플라스타,50,6.2/6(100~),12(4),,
,,,,,분말 10g,10,6.3,10,,컴포트선크림,10,12,20,,,,콜드 및 프리 종류(~120)/150/180~),,,,,,,,
센시아90T,,40,50,,분말 30g,10,13,20,,리페어마스크20개,1,20,60(3),,콜드펜,30,0.95/0.85/0.75,3,,마이벨런스 데일리팩 14P,2,20/18(5~),35,,
센시아120T,,50/47 (5~),65,,,,,,,워터마스크20개,1,20,60(3),,콜드펜노즈,30,0.95/0.85/0.75,3,,메가비텐 액티브 정 120T,,22/20(20~49)/19,60,,24/22(20~)/21(50~)/20(60~)
센시아180T,,62,80,,밴드 소,10,3.5,6,,,,,,,콜드펜코프,30,0.95/0.85/0.75,3,,메가콘드로업 800 60T,,25/24(5~9)/23,60,,
,,,,,밴드 중,10,3.5,6,,MD블록,6,30,40,,프리엔,30,1.1/1/0.9,3,,메가센타,,180/150(3~5)/120,280,,
